position,team,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference,form,win_rate,points_per_game,goals_for_per_game,goals_against_per_game
1,Arsenal FC,30,20,7,3,67,59,22,37,"W,W,W,D,D",0.667,2.23,1.97,0.73
2,Manchester City FC,29,18,6,5,60,59,27,32,"D,W,W,W,W",0.621,2.07,2.03,0.93
3,Manchester United FC,29,14,9,6,51,51,40,11,"L,W,W,D,W",0.483,1.76,1.76,1.38
4,Aston Villa FC,29,15,6,8,51,39,34,5,"L,L,D,W,D",0.517,1.76,1.34,1.17
5,Chelsea FC,29,13,9,7,48,53,34,19,"W,L,D,D,W",0.448,1.66,1.83,1.17
6,Liverpool FC,29,14,6,9,48,48,39,9,"L,W,W,W,L",0.483,1.66,1.66,1.34
7,Brentford FC,29,13,5,11,44,44,40,4,"D,W,L,D,W",0.448,1.52,1.52,1.38
8,Everton FC,29,12,7,10,43,34,33,1,"W,W,L,L,W",0.414,1.48,1.17,1.14
9,AFC Bournemouth,29,9,13,7,40,44,46,-2,"D,D,D,W,D",0.31,1.38,1.52,1.59
10,Fulham FC,29,12,4,13,40,40,43,-3,"L,W,W,L,L",0.414,1.38,1.38,1.48
11,Sunderland AFC,29,10,10,9,40,30,34,-4,"W,D,L,L,L",0.345,1.38,1.03,1.17
12,Newcastle United FC,29,11,6,12,39,42,43,-1,"W,L,L,W,L",0.379,1.34,1.45,1.48
13,Crystal Palace FC,29,10,8,11,38,33,35,-2,"W,L,W,L,W",0.345,1.31,1.14,1.21
14,Brighton & Hove Albion FC,29,9,10,10,37,38,36,2,"L,W,W,L,L",0.31,1.28,1.31,1.24
15,Leeds United FC,29,7,10,12,31,37,48,-11,"L,L,D,D,W",0.241,1.07,1.28,1.66
16,Tottenham Hotspur FC,29,7,8,14,29,39,46,-7,"L,L,L,L,L",0.241,1.0,1.34,1.59
17,Nottingham Forest FC,29,7,7,15,28,28,43,-15,"D,L,L,D,L",0.241,0.97,0.97,1.48
18,West Ham United FC,29,7,7,15,28,35,54,-19,"W,L,D,D,W",0.241,0.97,1.21,1.86
19,Burnley FC,29,4,7,18,19,32,58,-26,"L,L,D,W,L",0.138,0.66,1.1,2.0
20,Wolverhampton Wanderers FC,30,3,7,20,16,22,52,-30,"W,W,L,D,D",0.1,0.53,0.73,1.73
