fixture_id,date,status,round,season,home_team,away_team,home_score,away_score
1031275,2023-07-01T01:00:00+00:00,Match Finished,Apertura - 1,2023,Club America,FC Juarez,1,2
1031277,2023-07-01T01:00:00+00:00,Match Finished,Apertura - 1,2023,Mazatlán,Pachuca,1,1
1031276,2023-07-01T03:10:00+00:00,Match Finished,Apertura - 1,2023,Club Tijuana,U.N.A.M. - Pumas,2,3
1031278,2023-07-01T23:00:00+00:00,Match Finished,Apertura - 1,2023,Atletico San Luis,Monterrey,1,1
1031279,2023-07-02T01:00:00+00:00,Match Finished,Apertura - 1,2023,Tigres UANL,Puebla,1,1
1031280,2023-07-02T03:10:00+00:00,Match Finished,Apertura - 1,2023,Atlas,Cruz Azul,2,0
1031281,2023-07-02T18:00:00+00:00,Match Finished,Apertura - 1,2023,Toluca,Necaxa,0,0
1031282,2023-07-03T01:05:00+00:00,Match Finished,Apertura - 1,2023,Santos Laguna,Club Queretaro,0,2
1031283,2023-07-04T02:00:00+00:00,Match Finished,Apertura - 1,2023,Leon,Guadalajara Chivas,1,2
1031284,2023-07-08T01:00:00+00:00,Match Finished,Apertura - 2,2023,Puebla,Santos Laguna,2,3
1031290,2023-07-08T03:00:00+00:00,Match Finished,Apertura - 2,2023,Necaxa,Club Tijuana,1,1
1031288,2023-07-08T23:50:00+00:00,Match Finished,Apertura - 2,2023,Cruz Azul,Toluca,0,2
1031286,2023-07-09T00:05:00+00:00,Match Finished,Apertura - 2,2023,Guadalajara Chivas,Atletico San Luis,3,1
1031285,2023-07-09T00:06:00+00:00,Match Finished,Apertura - 2,2023,FC Juarez,Tigres UANL,1,1
1031289,2023-07-09T18:00:00+00:00,Match Finished,Apertura - 2,2023,U.N.A.M. - Pumas,Mazatlán,0,0
1031287,2023-07-10T01:00:00+00:00,Match Finished,Apertura - 2,2023,Monterrey,Atlas,1,0
1031292,2023-07-11T02:00:00+00:00,Match Finished,Apertura - 2,2023,Leon,Pachuca,4,0
1031293,2023-07-14T01:05:00+00:00,Match Finished,Apertura - 3,2023,Santos Laguna,Atlas,0,0
1031294,2023-07-14T03:00:00+00:00,Match Finished,Apertura - 3,2023,Guadalajara Chivas,Necaxa,2,0
