id,date,season,phase,matchday,home_team,away_team,home_score,away_score,status,total_goals,goal_difference,result,source,referee,venue,venue_city,attendance,home_xg,away_xg,home_manager,away_manager,home_system_of_play,away_system_of_play,source_matchday,sources_agree,n_sources
1837,2016-07-15,2016,apertura,1,Club Tijuana,Monarcas Morelia,2.0,0.0,FINISHED,2.0,2.0,LOCAL,openfootball,,,,,,,,,,,1,True,1
1838,2016-07-16,2016,apertura,1,América,Jaguares de Chiapas,2.0,0.0,FINISHED,2.0,2.0,LOCAL,openfootball,,,,,,,,,,,1,True,1
1839,2016-07-16,2016,apertura,1,Atlas,Toluca,1.0,1.0,FINISHED,2.0,0.0,EMPATE,openfootball,,,,,,,,,,,1,True,1
1840,2016-07-16,2016,apertura,1,Monterrey,Puebla FC,1.0,1.0,FINISHED,2.0,0.0,EMPATE,openfootball,,,,,,,,,,,1,True,1
1841,2016-07-16,2016,apertura,1,Necaxa,Cruz Azul,0.0,0.0,FINISHED,0.0,0.0,EMPATE,openfootball,,,,,,,,,,,1,True,1
1842,2016-07-16,2016,apertura,1,Pachuca,León,5.0,1.0,FINISHED,6.0,4.0,LOCAL,openfootball,,,,,,,,,,,1,True,1
1843,2016-07-16,2016,apertura,1,Querétaro,Veracruz,2.0,0.0,FINISHED,2.0,2.0,LOCAL,openfootball,,,,,,,,,,,1,True,1
1844,2016-07-17,2016,apertura,1,Santos Laguna,Tigres UANL,0.0,0.0,FINISHED,0.0,0.0,EMPATE,openfootball,,,,,,,,,,,1,True,1
1845,2016-07-17,2016,apertura,1,UNAM Pumas,Chivas,1.0,0.0,FINISHED,1.0,1.0,LOCAL,openfootball,,,,,,,,,,,1,True,1
1846,2016-07-22,2016,apertura,2,Veracruz,Santos Laguna,2.0,0.0,FINISHED,2.0,2.0,LOCAL,openfootball,,,,,,,,,,,2,True,1
1847,2016-07-23,2016,apertura,2,América,Toluca,3.0,1.0,FINISHED,4.0,2.0,LOCAL,openfootball,,,,,,,,,,,2,True,1
1848,2016-07-23,2016,apertura,2,Chivas,Monterrey,1.0,0.0,FINISHED,1.0,1.0,LOCAL,openfootball,,,,,,,,,,,2,True,1
1849,2016-07-23,2016,apertura,2,Cruz Azul,UNAM Pumas,0.0,0.0,FINISHED,0.0,0.0,EMPATE,openfootball,,,,,,,,,,,2,True,1
1850,2016-07-23,2016,apertura,2,Jaguares de Chiapas,Pachuca,0.0,2.0,FINISHED,2.0,-2.0,VISITANTE,openfootball,,,,,,,,,,,2,True,1
1851,2016-07-23,2016,apertura,2,León,Necaxa,0.0,0.0,FINISHED,0.0,0.0,EMPATE,openfootball,,,,,,,,,,,2,True,1
1852,2016-07-23,2016,apertura,2,Monarcas Morelia,Querétaro,2.0,2.0,FINISHED,4.0,0.0,EMPATE,openfootball,,,,,,,,,,,2,True,1
1853,2016-07-23,2016,apertura,2,Tigres UANL,Atlas,0.0,0.0,FINISHED,0.0,0.0,EMPATE,openfootball,,,,,,,,,,,2,True,1
1854,2016-07-24,2016,apertura,2,Puebla FC,Club Tijuana,3.0,2.0,FINISHED,5.0,1.0,LOCAL,openfootball,,,,,,,,,,,2,True,1
1855,2016-07-29,2016,apertura,3,Club Tijuana,Chivas,4.0,0.0,FINISHED,4.0,4.0,LOCAL,openfootball,,,,,,,,,,,3,True,1
1856,2016-07-30,2016,apertura,3,América,Tigres UANL,0.0,3.0,FINISHED,3.0,-3.0,VISITANTE,openfootball,,,,,,,,,,,3,True,1
1857,2016-07-30,2016,apertura,3,Atlas,Veracruz,1.0,0.0,FINISHED,1.0,1.0,LOCAL,openfootball,,,,,,,,,,,3,True,1
1858,2016-07-30,2016,apertura,3,Monterrey,Cruz Azul,1.0,1.0,FINISHED,2.0,0.0,EMPATE,openfootball,,,,,,,,,,,3,True,1
1859,2016-07-30,2016,apertura,3,Pachuca,Necaxa,1.0,0.0,FINISHED,1.0,1.0,LOCAL,openfootball,,,,,,,,,,,3,True,1
1860,2016-07-30,2016,apertura,3,Querétaro,Puebla FC,2.0,1.0,FINISHED,3.0,1.0,LOCAL,openfootball,,,,,,,,,,,3,True,1
1861,2016-07-31,2016,apertura,3,Jaguares de Chiapas,Toluca,1.0,0.0,FINISHED,1.0,1.0,LOCAL,openfootball,,,,,,,,,,,3,True,1
1862,2016-07-31,2016,apertura,3,Santos Laguna,Monarcas Morelia,2.0,4.0,FINISHED,6.0,-2.0,VISITANTE,openfootball,,,,,,,,,,,3,True,1
1863,2016-07-31,2016,apertura,3,UNAM Pumas,León,1.0,0.0,FINISHED,1.0,1.0,LOCAL,openfootball,,,,,,,,,,,3,True,1
1864,2016-08-06,2016,apertura,4,Chivas,Querétaro,0.0,0.0,FINISHED,0.0,0.0,EMPATE,openfootball,,,,,,,,,,,4,True,1
1865,2016-08-06,2016,apertura,4,Cruz Azul,Club Tijuana,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE,openfootball,,,,,,,,,,,4,True,1
1866,2016-08-06,2016,apertura,4,León,Monterrey,0.0,3.0,FINISHED,3.0,-3.0,VISITANTE,openfootball,,,,,,,,,,,4,True,1
1867,2016-08-06,2016,apertura,4,Monarcas Morelia,Atlas,3.0,2.0,FINISHED,5.0,1.0,LOCAL,openfootball,,,,,,,,,,,4,True,1
1868,2016-08-06,2016,apertura,4,Necaxa,UNAM Pumas,2.0,2.0,FINISHED,4.0,0.0,EMPATE,openfootball,,,,,,,,,,,4,True,1
1869,2016-08-06,2016,apertura,4,Tigres UANL,Jaguares de Chiapas,1.0,0.0,FINISHED,1.0,1.0,LOCAL,openfootball,,,,,,,,,,,4,True,1
1870,2016-08-06,2016,apertura,4,Veracruz,América,2.0,4.0,FINISHED,6.0,-2.0,VISITANTE,openfootball,,,,,,,,,,,4,True,1
1871,2016-08-07,2016,apertura,4,Puebla FC,Santos Laguna,0.0,0.0,FINISHED,0.0,0.0,EMPATE,openfootball,,,,,,,,,,,4,True,1
1872,2016-08-07,2016,apertura,4,Toluca,Pachuca,2.0,0.0,FINISHED,2.0,2.0,LOCAL,openfootball,,,,,,,,,,,4,True,1
1873,2016-08-12,2016,apertura,5,Club Tijuana,León,2.0,0.0,FINISHED,2.0,2.0,LOCAL,openfootball,,,,,,,,,,,5,True,1
1874,2016-08-13,2016,apertura,5,América,Monarcas Morelia,1.0,1.0,FINISHED,2.0,0.0,EMPATE,openfootball,,,,,,,,,,,5,True,1
1875,2016-08-13,2016,apertura,5,Atlas,Puebla FC,3.0,2.0,FINISHED,5.0,1.0,LOCAL,openfootball,,,,,,,,,,,5,True,1
1876,2016-08-13,2016,apertura,5,Monterrey,Necaxa,2.0,1.0,FINISHED,3.0,1.0,LOCAL,openfootball,,,,,,,,,,,5,True,1
1877,2016-08-13,2016,apertura,5,Pachuca,UNAM Pumas,3.0,0.0,FINISHED,3.0,3.0,LOCAL,openfootball,,,,,,,,,,,5,True,1
1878,2016-08-13,2016,apertura,5,Querétaro,Cruz Azul,0.0,0.0,FINISHED,0.0,0.0,EMPATE,openfootball,,,,,,,,,,,5,True,1
1879,2016-08-14,2016,apertura,5,Jaguares de Chiapas,Veracruz,1.0,1.0,FINISHED,2.0,0.0,EMPATE,openfootball,,,,,,,,,,,5,True,1
1880,2016-08-14,2016,apertura,5,Santos Laguna,Chivas,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE,openfootball,,,,,,,,,,,5,True,1
1881,2016-08-14,2016,apertura,5,Toluca,Tigres UANL,0.0,0.0,FINISHED,0.0,0.0,EMPATE,openfootball,,,,,,,,,,,5,True,1
1882,2016-08-19,2016,apertura,6,Veracruz,Toluca,2.0,2.0,FINISHED,4.0,0.0,EMPATE,openfootball,,,,,,,,,,,6,True,1
1883,2016-08-20,2016,apertura,6,Chivas,Atlas,2.0,2.0,FINISHED,4.0,0.0,EMPATE,openfootball,,,,,,,,,,,6,True,1
1884,2016-08-20,2016,apertura,6,Cruz Azul,Santos Laguna,3.0,1.0,FINISHED,4.0,2.0,LOCAL,openfootball,,,,,,,,,,,6,True,1
1885,2016-08-20,2016,apertura,6,León,Querétaro,2.0,1.0,FINISHED,3.0,1.0,LOCAL,openfootball,,,,,,,,,,,6,True,1
1886,2016-08-20,2016,apertura,6,Monarcas Morelia,Jaguares de Chiapas,3.0,2.0,FINISHED,5.0,1.0,LOCAL,openfootball,,,,,,,,,,,6,True,1
1887,2016-08-20,2016,apertura,6,Necaxa,Club Tijuana,1.0,1.0,FINISHED,2.0,0.0,EMPATE,openfootball,,,,,,,,,,,6,True,1
1888,2016-08-20,2016,apertura,6,Tigres UANL,Pachuca,4.0,2.0,FINISHED,6.0,2.0,LOCAL,openfootball,,,,,,,,,,,6,True,1
1889,2016-08-21,2016,apertura,6,Puebla FC,América,2.0,2.0,FINISHED,4.0,0.0,EMPATE,openfootball,,,,,,,,,,,6,True,1
