id,date,season,phase,matchday,home_team,away_team,home_score,away_score,status,total_goals,goal_difference,result
2113,2019-08-01,2019,apertura,1,Club Celaya,Zacatepec,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE
2114,2019-08-02,2019,apertura,1,Potros UAEM,Correcaminos UAT,4.0,0.0,FINISHED,4.0,4.0,LOCAL
2115,2019-08-02,2019,apertura,1,TM Fútbol Club,Dorados de Sinaloa,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE
2116,2019-08-02,2019,apertura,1,Atlante,Mineros de Zacatecas,0.0,0.0,FINISHED,0.0,0.0,EMPATE
2117,2019-08-03,2019,apertura,1,Loros UCOL,Venados FC,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE
2118,2019-08-03,2019,apertura,1,Cafetaleros de Chiapas,Cimarrones de Sonora,0.0,0.0,FINISHED,0.0,0.0,EMPATE
2119,2019-08-04,2019,apertura,1,Alebrijes de Oaxaca,Leones Negros,2.0,0.0,FINISHED,2.0,2.0,LOCAL
2120,2019-08-08,2019,apertura,2,Cimarrones de Sonora,Alebrijes de Oaxaca,3.0,0.0,FINISHED,3.0,3.0,LOCAL
2121,2019-08-09,2019,apertura,2,Mineros de Zacatecas,TM Fútbol Club,0.0,2.0,FINISHED,2.0,-2.0,VISITANTE
2122,2019-08-09,2019,apertura,2,Correcaminos UAT,Atlante,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE
2123,2019-08-10,2019,apertura,2,Zacatepec,Loros UCOL,0.0,4.0,FINISHED,4.0,-4.0,VISITANTE
2124,2019-08-10,2019,apertura,2,Venados FC,Potros UAEM,1.0,1.0,FINISHED,2.0,0.0,EMPATE
2125,2019-08-10,2019,apertura,2,Dorados de Sinaloa,Club Celaya,0.0,0.0,FINISHED,0.0,0.0,EMPATE
2126,2019-08-11,2019,apertura,2,Leones Negros,Cafetaleros de Chiapas,1.0,0.0,FINISHED,1.0,1.0,LOCAL
2127,2019-08-15,2019,apertura,3,TM Fútbol Club,Correcaminos UAT,0.0,0.0,FINISHED,0.0,0.0,EMPATE
2128,2019-08-16,2019,apertura,3,Venados FC,Leones Negros,1.0,0.0,FINISHED,1.0,1.0,LOCAL
2129,2019-08-17,2019,apertura,3,Zacatepec,Mineros de Zacatecas,2.0,0.0,FINISHED,2.0,2.0,LOCAL
2130,2019-08-17,2019,apertura,3,Cafetaleros de Chiapas,Atlante,3.0,0.0,FINISHED,3.0,3.0,LOCAL
2131,2019-08-18,2019,apertura,3,Club Celaya,Cimarrones de Sonora,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE
2132,2019-08-18,2019,apertura,3,Loros UCOL,Alebrijes de Oaxaca,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE
2133,2019-08-22,2019,apertura,4,Leones Negros,Zacatepec,1.0,3.0,FINISHED,4.0,-2.0,VISITANTE
2134,2019-08-23,2019,apertura,4,Atlante,Potros UAEM,2.0,2.0,FINISHED,4.0,0.0,EMPATE
2135,2019-08-23,2019,apertura,4,Mineros de Zacatecas,Club Celaya,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE
2136,2019-08-23,2019,apertura,4,Correcaminos UAT,Loros UCOL,2.0,2.0,FINISHED,4.0,0.0,EMPATE
2137,2019-08-24,2019,apertura,4,Alebrijes de Oaxaca,Cafetaleros de Chiapas,2.0,1.0,FINISHED,3.0,1.0,LOCAL
2138,2019-08-24,2019,apertura,4,Dorados de Sinaloa,Venados FC,1.0,0.0,FINISHED,1.0,1.0,LOCAL
2139,2019-08-25,2019,apertura,4,Cimarrones de Sonora,TM Fútbol Club,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE
2140,2019-08-30,2019,apertura,5,Potros UAEM,Alebrijes de Oaxaca,1.0,1.0,FINISHED,2.0,0.0,EMPATE
2141,2019-08-30,2019,apertura,5,TM Fútbol Club,Cafetaleros de Chiapas,2.0,2.0,FINISHED,4.0,0.0,EMPATE
2142,2019-08-30,2019,apertura,5,Venados FC,Mineros de Zacatecas,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE
2143,2019-08-31,2019,apertura,5,Loros UCOL,Cimarrones de Sonora,1.0,1.0,FINISHED,2.0,0.0,EMPATE
2144,2019-08-31,2019,apertura,5,Zacatepec,Atlante,1.0,1.0,FINISHED,2.0,0.0,EMPATE
2145,2019-08-31,2019,apertura,5,Dorados de Sinaloa,Leones Negros,2.0,3.0,FINISHED,5.0,-1.0,VISITANTE
2146,2019-09-01,2019,apertura,5,Club Celaya,Correcaminos UAT,0.0,0.0,FINISHED,0.0,0.0,EMPATE
2147,2019-09-12,2019,apertura,6,Atlante,TM Fútbol Club,0.0,0.0,FINISHED,0.0,0.0,EMPATE
2148,2019-09-13,2019,apertura,6,Mineros de Zacatecas,Potros UAEM,3.0,0.0,FINISHED,3.0,3.0,LOCAL
2149,2019-09-13,2019,apertura,6,Correcaminos UAT,Dorados de Sinaloa,1.0,1.0,FINISHED,2.0,0.0,EMPATE
2150,2019-09-14,2019,apertura,6,Alebrijes de Oaxaca,Zacatepec,2.0,1.0,FINISHED,3.0,1.0,LOCAL
2151,2019-09-14,2019,apertura,6,Cafetaleros de Chiapas,Loros UCOL,1.0,1.0,FINISHED,2.0,0.0,EMPATE
2152,2019-09-14,2019,apertura,6,Cimarrones de Sonora,Venados FC,2.0,1.0,FINISHED,3.0,1.0,LOCAL
2153,2019-09-15,2019,apertura,6,Leones Negros,Club Celaya,2.0,0.0,FINISHED,2.0,2.0,LOCAL
2154,2019-09-20,2019,apertura,7,Dorados de Sinaloa,Cafetaleros de Chiapas,2.0,0.0,FINISHED,2.0,2.0,LOCAL
2155,2019-09-20,2019,apertura,7,Loros UCOL,Atlante,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE
2156,2019-09-20,2019,apertura,7,TM Fútbol Club,Leones Negros,1.0,0.0,FINISHED,1.0,1.0,LOCAL
2157,2019-09-20,2019,apertura,7,Venados FC,Alebrijes de Oaxaca,0.0,0.0,FINISHED,0.0,0.0,EMPATE
2158,2019-09-21,2019,apertura,7,Zacatepec,Correcaminos UAT,2.0,1.0,FINISHED,3.0,1.0,LOCAL
2159,2019-09-21,2019,apertura,7,Cimarrones de Sonora,Mineros de Zacatecas,0.0,0.0,FINISHED,0.0,0.0,EMPATE
2160,2019-09-22,2019,apertura,7,Club Celaya,Potros UAEM,2.0,0.0,FINISHED,2.0,2.0,LOCAL
2161,2019-09-27,2019,apertura,8,Potros UAEM,Loros UCOL,1.0,2.0,FINISHED,3.0,-1.0,VISITANTE
2162,2019-09-27,2019,apertura,8,Mineros de Zacatecas,Cafetaleros de Chiapas,1.0,1.0,FINISHED,2.0,0.0,EMPATE
2163,2019-09-27,2019,apertura,8,Correcaminos UAT,Cimarrones de Sonora,2.0,0.0,FINISHED,2.0,2.0,LOCAL
2164,2019-09-27,2019,apertura,8,Atlante,Leones Negros,2.0,1.0,FINISHED,3.0,1.0,LOCAL
2165,2019-09-28,2019,apertura,8,Alebrijes de Oaxaca,TM Fútbol Club,2.0,2.0,FINISHED,4.0,0.0,EMPATE
2166,2019-09-28,2019,apertura,8,Dorados de Sinaloa,Zacatepec,2.0,2.0,FINISHED,4.0,0.0,EMPATE
2167,2019-09-29,2019,apertura,8,Club Celaya,Venados FC,0.0,1.0,FINISHED,1.0,-1.0,VISITANTE
2168,2019-10-04,2019,apertura,9,Zacatepec,Venados FC,3.0,1.0,FINISHED,4.0,2.0,LOCAL
2169,2019-10-04,2019,apertura,9,TM Fútbol Club,Club Celaya,2.0,3.0,FINISHED,5.0,-1.0,VISITANTE
2170,2019-10-04,2019,apertura,9,Cafetaleros de Chiapas,Correcaminos UAT,0.0,0.0,FINISHED,0.0,0.0,EMPATE
2171,2019-10-05,2019,apertura,9,Loros UCOL,Mineros de Zacatecas,1.0,1.0,FINISHED,2.0,0.0,EMPATE
2172,2019-10-06,2019,apertura,9,Leones Negros,Potros UAEM,3.0,2.0,FINISHED,5.0,1.0,LOCAL
2173,2019-10-06,2019,apertura,9,Atlante,Alebrijes de Oaxaca,3.0,0.0,FINISHED,3.0,3.0,LOCAL
2174,2019-10-06,2019,apertura,9,Cimarrones de Sonora,Dorados de Sinaloa,2.0,1.0,FINISHED,3.0,1.0,LOCAL
2175,2019-10-10,2019,apertura,3,Potros UAEM,Dorados de Sinaloa,1.0,1.0,FINISHED,2.0,0.0,EMPATE
2176,2019-10-18,2019,apertura,10,Potros UAEM,Cafetaleros de Chiapas,2.0,3.0,FINISHED,5.0,-1.0,VISITANTE
2177,2019-10-18,2019,apertura,10,Mineros de Zacatecas,Leones Negros,2.0,1.0,FINISHED,3.0,1.0,LOCAL
2178,2019-10-18,2019,apertura,10,Venados FC,TM Fútbol Club,2.0,4.0,FINISHED,6.0,-2.0,VISITANTE
2179,2019-10-19,2019,apertura,10,Zacatepec,Cimarrones de Sonora,0.0,0.0,FINISHED,0.0,0.0,EMPATE
2180,2019-10-19,2019,apertura,10,Correcaminos UAT,Alebrijes de Oaxaca,2.0,3.0,FINISHED,5.0,-1.0,VISITANTE
2181,2019-10-20,2019,apertura,10,Club Celaya,Loros UCOL,4.0,0.0,FINISHED,4.0,4.0,LOCAL
