position,team,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference,win_rate,points_per_game,goals_for_per_game,goals_against_per_game
1,Cruz Azul,34,22,4,8,70,49,27,22,0.647,2.06,1.44,0.79
2,América,34,21,7,6,70,57,36,21,0.618,2.06,1.68,1.06
3,León,34,20,6,8,66,52,37,15,0.588,1.94,1.53,1.09
4,Monterrey,34,16,9,9,57,48,34,14,0.471,1.68,1.41,1.0
5,Tigres UANL,34,13,12,9,51,46,36,10,0.382,1.5,1.35,1.06
6,Santos Laguna,34,14,9,11,51,42,33,9,0.412,1.5,1.24,0.97
7,UNAM Pumas,34,12,14,8,50,39,29,10,0.353,1.47,1.15,0.85
8,Chivas,34,12,13,9,49,41,38,3,0.353,1.44,1.21,1.12
9,Puebla FC,34,13,9,12,48,47,39,8,0.382,1.41,1.38,1.15
10,Pachuca,34,12,12,10,48,38,33,5,0.353,1.41,1.12,0.97
11,Toluca,34,12,7,15,43,49,52,-3,0.353,1.26,1.44,1.53
12,Atlas,34,10,9,15,39,33,35,-2,0.294,1.15,0.97,1.03
13,Mazatlán FC,34,10,7,17,37,43,57,-14,0.294,1.09,1.26,1.68
14,Club Tijuana,34,9,8,17,35,31,48,-17,0.265,1.03,0.91,1.41
15,Necaxa,34,9,8,17,35,30,49,-19,0.265,1.03,0.88,1.44
16,Querétaro,34,9,7,18,34,42,53,-11,0.265,1.0,1.24,1.56
17,FC Juárez,34,8,10,16,34,29,48,-19,0.235,1.0,0.85,1.41
18,Atlético San Luis,34,6,5,23,23,36,68,-32,0.176,0.68,1.06,2.0
