fixture_id,date,status,round,season,home_team,away_team,home_score,away_score
1206004,2024-07-05T22:45:00+00:00,Match Finished,Apertura - 1,2024,Puebla,Santos Laguna,1,0
1206003,2024-07-06T01:00:00+00:00,Match Finished,Apertura - 1,2024,Club Queretaro,Club Tijuana,1,2
1206005,2024-07-06T03:10:00+00:00,Match Finished,Apertura - 1,2024,FC Juarez,Atlas,2,2
1206006,2024-07-06T23:00:00+00:00,Match Finished,Apertura - 1,2024,Atletico San Luis,Club America,2,1
1206008,2024-07-07T01:00:00+00:00,Match Finished,Apertura - 1,2024,Guadalajara Chivas,Toluca,0,0
1206007,2024-07-07T01:00:00+00:00,Match Finished,Apertura - 1,2024,Tigres UANL,Necaxa,1,0
1206009,2024-07-07T03:00:00+00:00,Match Finished,Apertura - 1,2024,Cruz Azul,Mazatlán,1,0
1206010,2024-07-07T18:00:00+00:00,Match Finished,Apertura - 1,2024,U.N.A.M. - Pumas,Leon,4,1
1206011,2024-07-08T01:06:00+00:00,Match Finished,Apertura - 1,2024,CF Pachuca,Monterrey,0,1
1206012,2024-07-13T01:00:00+00:00,Match Finished,Apertura - 2,2024,Club America,Club Queretaro,3,1
1206014,2024-07-13T03:00:00+00:00,Match Finished,Apertura - 2,2024,Club Tijuana,Guadalajara Chivas,4,2
1206013,2024-07-13T03:00:00+00:00,Match Finished,Apertura - 2,2024,Mazatlán,Atletico San Luis,2,2
1206015,2024-07-13T03:05:00+00:00,Match Finished,Apertura - 2,2024,Atlas,Tigres UANL,1,1
1206016,2024-07-13T23:00:00+00:00,Match Finished,Apertura - 2,2024,Necaxa,Puebla,4,1
1206017,2024-07-13T23:00:00+00:00,Match Finished,Apertura - 2,2024,Leon,CF Pachuca,0,0
1206018,2024-07-14T01:10:00+00:00,Match Finished,Apertura - 2,2024,Toluca,FC Juarez,3,2
1206019,2024-07-14T01:25:00+00:00,Match Finished,Apertura - 2,2024,Santos Laguna,U.N.A.M. - Pumas,1,1
1206020,2024-07-14T03:10:00+00:00,Match Finished,Apertura - 2,2024,Monterrey,Cruz Azul,0,4
1206022,2024-07-17T01:00:00+00:00,Match Finished,Apertura - 3,2024,Atlas,Santos Laguna,1,0
1206021,2024-07-17T01:00:00+00:00,Match Finished,Apertura - 3,2024,Club Queretaro,Guadalajara Chivas,0,2
1206024,2024-07-17T01:00:00+00:00,Match Finished,Apertura - 3,2024,CF Pachuca,Atletico San Luis,2,0
1206023,2024-07-17T03:00:00+00:00,Match Finished,Apertura - 3,2024,Puebla,Leon,2,2
1206025,2024-07-17T03:05:00+00:00,Match Finished,Apertura - 3,2024,Cruz Azul,Club Tijuana,3,0
1206029,2024-07-18T01:00:00+00:00,Match Finished,Apertura - 3,2024,Necaxa,Monterrey,0,1
1206026,2024-07-18T01:06:00+00:00,Match Finished,Apertura - 3,2024,FC Juarez,U.N.A.M. - Pumas,1,2
1206028,2024-07-18T03:00:00+00:00,Match Finished,Apertura - 3,2024,Tigres UANL,Club America,1,0
1206027,2024-07-18T03:00:00+00:00,Match Finished,Apertura - 3,2024,Toluca,Mazatlán,3,0
1206030,2024-07-20T01:00:00+00:00,Match Finished,Apertura - 4,2024,Atletico San Luis,Club Tijuana,1,1
1206031,2024-07-20T03:05:00+00:00,Match Finished,Apertura - 4,2024,Puebla,Atlas,1,2
1206032,2024-07-20T23:05:00+00:00,Match Finished,Apertura - 4,2024,Guadalajara Chivas,Mazatlán,2,0
1206034,2024-07-21T01:00:00+00:00,Match Finished,Apertura - 4,2024,Monterrey,Club Queretaro,2,1
1206033,2024-07-21T01:00:00+00:00,Match Finished,Apertura - 4,2024,Santos Laguna,Tigres UANL,0,3
1206036,2024-07-21T03:05:00+00:00,Match Finished,Apertura - 4,2024,Cruz Azul,Toluca,1,1
1206035,2024-07-21T03:10:00+00:00,Match Finished,Apertura - 4,2024,FC Juarez,Club America,1,2
1206037,2024-07-21T23:00:00+00:00,Match Finished,Apertura - 4,2024,U.N.A.M. - Pumas,CF Pachuca,2,0
1206038,2024-07-22T01:05:00+00:00,Match Finished,Apertura - 4,2024,Leon,Necaxa,1,1
1206140,2024-08-17T01:00:00+00:00,Match Finished,Apertura - 16,2024,Puebla,Monterrey,1,2
1206074,2024-08-19T00:05:00+00:00,Match Finished,Apertura - 8,2024,Club Tijuana,Santos Laguna,3,1
1206115,2024-08-19T02:00:00+00:00,Match Finished,Apertura - 13,2024,Atletico San Luis,Club Queretaro,4,0
1206039,2024-08-24T01:00:00+00:00,Match Finished,Apertura - 5,2024,Club Queretaro,Cruz Azul,0,2
1206040,2024-08-24T02:00:00+00:00,Match Finished,Apertura - 5,2024,Mazatlán,CF Pachuca,3,0
1206041,2024-08-24T03:05:00+00:00,Match Finished,Apertura - 5,2024,Club Tijuana,Monterrey,2,2
1206042,2024-08-24T23:00:00+00:00,Match Finished,Apertura - 5,2024,Necaxa,FC Juarez,3,0
1206045,2024-08-25T01:00:00+00:00,Match Finished,Apertura - 5,2024,Tigres UANL,Guadalajara Chivas,1,1
1206044,2024-08-25T01:00:00+00:00,Match Finished,Apertura - 5,2024,Atlas,U.N.A.M. - Pumas,2,1
1206043,2024-08-25T01:00:00+00:00,Match Finished,Apertura - 5,2024,Leon,Santos Laguna,1,1
1206046,2024-08-25T03:05:00+00:00,Match Finished,Apertura - 5,2024,Club America,Puebla,0,1
1206047,2024-08-25T18:00:00+00:00,Match Finished,Apertura - 5,2024,Toluca,Atletico San Luis,2,1
1206048,2024-08-31T01:00:00+00:00,Match Finished,Apertura - 6,2024,Atletico San Luis,Atlas,2,1
1206049,2024-08-31T02:00:00+00:00,Match Finished,Apertura - 6,2024,Mazatlán,Puebla,1,1
1206050,2024-08-31T03:05:00+00:00,Match Finished,Apertura - 6,2024,Club Tijuana,Leon,2,1
1206051,2024-08-31T23:00:00+00:00,Match Finished,Apertura - 6,2024,CF Pachuca,Club Queretaro,1,1
1206052,2024-08-31T23:05:00+00:00,Match Finished,Apertura - 6,2024,Guadalajara Chivas,FC Juarez,5,0
1206053,2024-09-01T01:00:00+00:00,Match Finished,Apertura - 6,2024,Monterrey,Toluca,1,2
