position,team,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference,win_rate,points_per_game,goals_for_per_game,goals_against_per_game
1,Santos Laguna,33,15,3,15,48,48,48,0,0.45454545454545453,1.4545454545454546,1.4545454545454546,1.4545454545454546
2,Querétaro FC,33,15,3,15,48,46,46,0,0.45454545454545453,1.4545454545454546,1.393939393939394,1.393939393939394
3,Puebla FC,32,14,4,14,46,59,59,0,0.4375,1.4375,1.84375,1.84375
4,FC Juárez,32,12,8,12,44,50,50,0,0.375,1.375,1.5625,1.5625
5,CD Cruz Azul,31,12,7,12,43,49,49,0,0.3870967741935484,1.3870967741935485,1.5806451612903225,1.5806451612903225
6,Club Tijuana,32,11,10,11,43,49,49,0,0.34375,1.34375,1.53125,1.53125
7,UNAM Pumas,32,11,10,11,43,48,48,0,0.34375,1.34375,1.5,1.5
8,Tigres UANL,31,11,9,11,42,47,47,0,0.3548387096774194,1.3548387096774193,1.5161290322580645,1.5161290322580645
9,Mazatlán FC,30,9,12,9,39,43,43,0,0.3,1.3,1.4333333333333333,1.4333333333333333
10,Club Necaxa,17,9,5,3,32,36,20,16,0.5294117647058824,1.8823529411764706,2.1176470588235294,1.1764705882352942
11,Atlas Guadalajara,17,9,5,3,32,35,24,11,0.5294117647058824,1.8823529411764706,2.0588235294117645,1.411764705882353
12,CF Monterrey,17,9,4,4,31,38,24,14,0.5294117647058824,1.8235294117647058,2.235294117647059,1.411764705882353
13,CF América,17,9,4,4,31,31,20,11,0.5294117647058824,1.8235294117647058,1.8235294117647058,1.1764705882352942
14,San Luis,17,10,1,6,31,30,24,6,0.5882352941176471,1.8235294117647058,1.7647058823529411,1.411764705882353
15,Club León FC,17,8,4,5,28,29,16,13,0.47058823529411764,1.6470588235294117,1.7058823529411764,0.9411764705882353
16,Pachuca,17,8,4,5,28,23,19,4,0.47058823529411764,1.6470588235294117,1.3529411764705883,1.1176470588235294
17,Deportivo Guadalajara,17,8,2,7,26,27,24,3,0.47058823529411764,1.5294117647058822,1.588235294117647,1.411764705882353
18,Deportivo Toluca,17,7,4,6,25,33,28,5,0.4117647058823529,1.4705882352941178,1.9411764705882353,1.6470588235294117
19,Chivas,17,7,2,8,23,24,27,-3,0.4117647058823529,1.3529411764705883,1.411764705882353,1.588235294117647
20,Toluca,17,6,4,7,22,28,33,-5,0.35294117647058826,1.2941176470588236,1.6470588235294117,1.9411764705882353
21,CF Pachuca,17,5,4,8,19,19,23,-4,0.29411764705882354,1.1176470588235294,1.1176470588235294,1.3529411764705883
22,Atlético de San Luis,17,6,1,10,19,24,30,-6,0.35294117647058826,1.1176470588235294,1.411764705882353,1.7647058823529411
23,León,17,5,4,8,19,16,29,-13,0.29411764705882354,1.1176470588235294,0.9411764705882353,1.7058823529411764
24,América,17,4,4,9,16,20,31,-11,0.23529411764705882,0.9411764705882353,1.1764705882352942,1.8235294117647058
25,Monterrey,17,4,4,9,16,24,38,-14,0.23529411764705882,0.9411764705882353,1.411764705882353,2.235294117647059
26,Atlas,17,3,5,9,14,24,35,-11,0.17647058823529413,0.8235294117647058,1.411764705882353,2.0588235294117645
27,Necaxa,17,3,5,9,14,20,36,-16,0.17647058823529413,0.8235294117647058,1.1764705882352942,2.1176470588235294
