position,team,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference,win_rate,points_per_game,goals_for_per_game,goals_against_per_game
1,Toluca,17,11,4,2,37,43,18,25,0.6470588235294118,2.176470588235294,2.5294117647058822,1.0588235294117647
2,Tigres UANL,17,10,6,1,36,35,16,19,0.5882352941176471,2.1176470588235294,2.0588235294117645,0.9411764705882353
3,CD Cruz Azul,17,10,5,2,35,32,20,12,0.5882352941176471,2.0588235294117645,1.8823529411764706,1.1764705882352942
4,América,17,10,4,3,34,33,18,15,0.5882352941176471,2.0,1.9411764705882353,1.0588235294117647
5,Monterrey,17,9,4,4,31,33,29,4,0.5294117647058824,1.8235294117647058,1.9411764705882353,1.7058823529411764
6,Chivas,17,9,2,6,29,29,22,7,0.5294117647058824,1.7058823529411764,1.7058823529411764,1.2941176470588236
7,Club Tijuana,17,6,6,5,24,29,23,6,0.35294117647058826,1.411764705882353,1.7058823529411764,1.3529411764705883
8,FC Juárez,17,6,5,6,23,27,28,-1,0.35294117647058826,1.3529411764705883,1.588235294117647,1.6470588235294117
9,Pachuca,17,6,4,7,22,21,21,0,0.35294117647058826,1.2941176470588236,1.2352941176470589,1.2352941176470589
10,UNAM Pumas,17,5,6,6,21,24,25,-1,0.29411764705882354,1.2352941176470589,1.411764705882353,1.4705882352941178
11,Santos Laguna,17,6,2,9,20,22,28,-6,0.35294117647058826,1.1764705882352942,1.2941176470588236,1.6470588235294117
12,Querétaro FC,17,6,2,9,20,19,29,-10,0.35294117647058826,1.1764705882352942,1.1176470588235294,1.7058823529411764
13,Necaxa,17,4,5,8,17,24,32,-8,0.23529411764705882,1.0,1.411764705882353,1.8823529411764706
14,Atlas,17,4,5,8,17,24,35,-11,0.23529411764705882,1.0,1.411764705882353,2.0588235294117645
15,San Luis,17,5,1,11,16,25,29,-4,0.29411764705882354,0.9411764705882353,1.4705882352941178,1.7058823529411764
16,Mazatlán FC,17,2,8,7,14,20,29,-9,0.11764705882352941,0.8235294117647058,1.1764705882352942,1.7058823529411764
17,León,17,3,4,10,13,14,31,-17,0.17647058823529413,0.7647058823529411,0.8235294117647058,1.8235294117647058
18,Puebla FC,17,3,3,11,12,21,42,-21,0.17647058823529413,0.7058823529411765,1.2352941176470589,2.4705882352941178
