position,team,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference,win_rate,points_per_game,goals_for_per_game,goals_against_per_game
1,UNAM Pumas,17,10,6,1,36,34,17,17,0.5882352941176471,2.1176470588235294,2.0,1.0
2,Chivas,17,11,3,3,36,33,17,16,0.6470588235294118,2.1176470588235294,1.9411764705882353,1.0
3,CD Cruz Azul,17,9,6,2,33,31,18,13,0.5294117647058824,1.9411764705882353,1.8235294117647058,1.0588235294117647
4,Pachuca,17,9,4,4,31,25,19,6,0.5294117647058824,1.8235294117647058,1.4705882352941178,1.1176470588235294
5,Toluca,17,8,6,3,30,28,16,12,0.47058823529411764,1.7647058823529411,1.6470588235294117,0.9411764705882353
6,Atlas,17,7,5,5,26,16,18,-2,0.4117647058823529,1.5294117647058822,0.9411764705882353,1.0588235294117647
7,Tigres UANL,17,7,4,6,25,28,18,10,0.4117647058823529,1.4705882352941178,1.6470588235294117,1.0588235294117647
8,América,17,7,4,6,25,20,17,3,0.4117647058823529,1.4705882352941178,1.1764705882352942,1.0
9,Club Tijuana,17,5,8,4,23,19,17,2,0.29411764705882354,1.3529411764705883,1.1176470588235294,1.0
10,León,17,7,1,9,22,22,32,-10,0.4117647058823529,1.2941176470588236,1.2941176470588236,1.8823529411764706
11,Querétaro FC,17,4,8,5,20,17,21,-4,0.23529411764705882,1.1764705882352942,1.0,1.2352941176470589
12,FC Juárez,17,5,4,8,19,26,32,-6,0.29411764705882354,1.1176470588235294,1.5294117647058822,1.8823529411764706
13,Monterrey,17,5,3,9,18,22,24,-2,0.29411764705882354,1.0588235294117647,1.2941176470588236,1.411764705882353
14,San Luis,17,5,3,9,18,24,27,-3,0.29411764705882354,1.0588235294117647,1.411764705882353,1.588235294117647
15,Necaxa,17,5,3,9,18,19,25,-6,0.29411764705882354,1.0588235294117647,1.1176470588235294,1.4705882352941178
16,Mazatlán FC,17,4,3,10,15,22,37,-15,0.23529411764705882,0.8823529411764706,1.2941176470588236,2.176470588235294
17,Puebla FC,17,3,4,10,13,13,26,-13,0.17647058823529413,0.7647058823529411,0.7647058823529411,1.5294117647058822
18,Santos Laguna,17,3,3,11,12,20,38,-18,0.17647058823529413,0.7058823529411765,1.1764705882352942,2.235294117647059
