position,team,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference,form
1,Arsenal FC,30,20,7,3,67,59,22,37,"W,W,W,D,D"
2,Manchester City FC,29,18,6,5,60,59,27,32,"D,W,W,W,W"
3,Manchester United FC,29,14,9,6,51,51,40,11,"L,W,W,D,W"
4,Aston Villa FC,29,15,6,8,51,39,34,5,"L,L,D,W,D"
5,Chelsea FC,29,13,9,7,48,53,34,19,"W,L,D,D,W"
6,Liverpool FC,29,14,6,9,48,48,39,9,"L,W,W,W,L"
7,Brentford FC,29,13,5,11,44,44,40,4,"D,W,L,D,W"
8,Everton FC,29,12,7,10,43,34,33,1,"W,W,L,L,W"
9,AFC Bournemouth,29,9,13,7,40,44,46,-2,"D,D,D,W,D"
10,Fulham FC,29,12,4,13,40,40,43,-3,"L,W,W,L,L"
11,Sunderland AFC,29,10,10,9,40,30,34,-4,"W,D,L,L,L"
12,Newcastle United FC,29,11,6,12,39,42,43,-1,"W,L,L,W,L"
13,Crystal Palace FC,29,10,8,11,38,33,35,-2,"W,L,W,L,W"
14,Brighton & Hove Albion FC,29,9,10,10,37,38,36,2,"L,W,W,L,L"
15,Leeds United FC,29,7,10,12,31,37,48,-11,"L,L,D,D,W"
16,Tottenham Hotspur FC,29,7,8,14,29,39,46,-7,"L,L,L,L,L"
17,Nottingham Forest FC,29,7,7,15,28,28,43,-15,"D,L,L,D,L"
18,West Ham United FC,29,7,7,15,28,35,54,-19,"W,L,D,D,W"
19,Burnley FC,29,4,7,18,19,32,58,-26,"L,L,D,W,L"
20,Wolverhampton Wanderers FC,30,3,7,20,16,22,52,-30,"W,W,L,D,D"
