id,name,shortName,tla,founded,venue,clubColors,name_clean
57,Arsenal FC,Arsenal,ARS,1886,Emirates Stadium,Red / White,Arsenal FC
58,Aston Villa FC,Aston Villa,AVL,1872,Villa Park,Claret / Sky Blue,Aston Villa FC
61,Chelsea FC,Chelsea,CHE,1905,Stamford Bridge,Royal Blue / White,Chelsea FC
62,Everton FC,Everton,EVE,1878,Goodison Park,Blue / White,Everton FC
63,Fulham FC,Fulham,FUL,1879,Craven Cottage,White / Black,Fulham FC
64,Liverpool FC,Liverpool,LIV,1892,Anfield,Red / White,Liverpool FC
65,Manchester City FC,Man City,MCI,1880,Etihad Stadium,Sky Blue / White,Manchester City FC
66,Manchester United FC,Man United,MUN,1878,Old Trafford,Red / White,Manchester United FC
67,Newcastle United FC,Newcastle,NEW,1881,St. James' Park,Black / White,Newcastle United FC
71,Sunderland AFC,Sunderland,SUN,1879,Stadium of Light,Red / White,Sunderland AFC
73,Tottenham Hotspur FC,Tottenham,TOT,1882,Tottenham Hotspur Stadium,Navy Blue / White,Tottenham Hotspur FC
76,Wolverhampton Wanderers FC,Wolverhampton,WOL,1877,Molineux Stadium,Black / Gold,Wolverhampton Wanderers FC
328,Burnley FC,Burnley,BUR,1881,Turf Moor,Claret / Sky Blue,Burnley FC
341,Leeds United FC,Leeds United,LEE,1904,Elland Road,White / Blue,Leeds United FC
351,Nottingham Forest FC,Nottingham,NOT,1865,The City Ground,Red / White,Nottingham Forest FC
354,Crystal Palace FC,Crystal Palace,CRY,1905,Selhurst Park,Red / Blue,Crystal Palace FC
397,Brighton & Hove Albion FC,Brighton Hove,BHA,1898,The American Express Community Stadium,Blue / White,Brighton & Hove Albion FC
402,Brentford FC,Brentford,BRE,1889,Griffin Park,Red / White / Black,Brentford FC
563,West Ham United FC,West Ham,WHU,1895,London Stadium,Claret / Sky Blue,West Ham United FC
1044,AFC Bournemouth,Bournemouth,BOU,1890,Vitality Stadium,Red / Black,AFC Bournemouth
